ID DEPATAMENTO;DEPARTAMENTO;ID MUNICIPIO;MUNICIPIO;ID LOCALIDAD;LOCALIDAD;AÑO SERVICIO;MES SERVICIO;ENERGÍA ACTIVA;ENERGÍA REACTIVA;POTENCIA MÁXIMA;DÍA DE DEMANDA MÁXIMA;FECHA DE DEMANDA MÁXIMA;PROMEDIO DIARIO EN HORAS
91;AMAZONAS;91001;LETICIA;91001000;LETICIA (LETICIA - AMAZONAS);2024;6;3994102;1010671;782451;Jueves;06/20/2024 03:30:00 PM;24
91;AMAZONAS;91540;PUERTO NARIÑO;91540000;PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS);2024;6;127838;40378;256;Miércoles;06/05/2024 06:15:00 PM;24
91;AMAZONAS;91798;TARAPACA (ANM);91798000;TARAPACA (TARAPACA (ANM) - AMAZONAS);2024;6;26578;11917;10143;Jueves;06/20/2024 06:30:00 PM;1018
88;ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA;88564;PROVIDENCIA;88564000;PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA );2024;6;1284196;274864;224156;Miércoles;06/12/2024 02:15:00 PM;24
13;BOLÍVAR;13001;CARTAGENA DE INDIAS;13001007;ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR);2024;6;60724;28336;26563;Domingo;06/30/2024 08:00:00 PM;94
13;BOLÍVAR;13001;CARTAGENA DE INDIAS;13001017;SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR);2024;6;12040;3944;5341;Viernes;06/21/2024 10:30:00 PM;924
18;CAQUETÁ;18150;CARTAGENA DEL CHAIRA;18150001;REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ);2024;6;18647;8183;10426;Sábado;06/22/2024 06:45:00 PM;743
18;CAQUETÁ;18150;CARTAGENA DEL CHAIRA;18150002;SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ);2024;6;4127;1932;394;Sábado;06/15/2024 06:00:00 PM;427
18;CAQUETÁ;18753;SAN VICENTE DEL CAGUÁN;18753002;GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ);2024;6;8770;3282;3235;Sábado;06/29/2024 07:45:00 PM;1456
19;CAUCA;19318;GUAPI;19318008;LIMONES (GUAPI - CAUCA);2024;6;9158;4037;4334;Jueves;06/27/2024 07:30:00 PM;922
19;CAUCA;19318;GUAPI;19318013;SAN ANTONIO DE GUAJUI (GUAPI - CAUCA);2024;6;12520;6833;5459;Miércoles;06/12/2024 06:30:00 PM;936
19;CAUCA;19418;LÓPEZ DE MICAY;19418009;NOANAMITO (LÓPEZ DE MICAY - CAUCA);2024;6;6719;3215;36;Domingo;06/02/2024 07:30:00 PM;822
19;CAUCA;19809;TIMBIQUÍ;19809014;CHACON (TIMBIQUÍ - CAUCA);2024;6;3571;875;22;Sábado;06/22/2024 06:45:00 PM;726
19;CAUCA;19809;TIMBIQUÍ;19809003;COTEJE (TIMBIQUÍ - CAUCA);2024;6;5703;4209;2976;Viernes;06/07/2024 07:15:00 PM;75
19;CAUCA;19809;TIMBIQUÍ;19809026;LOS BRAZOS (TIMBIQUÍ - CAUCA);2024;6;2593;1121;3655;Miércoles;06/12/2024 08:00:00 PM;256
19;CAUCA;19809;TIMBIQUÍ;19809007;SAN JOSE (TIMBIQUÍ - CAUCA);2024;6;6642;4607;3535;Miércoles;06/12/2024 07:30:00 PM;738
19;CAUCA;19809;TIMBIQUÍ;19809009;SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA);2024;6;3387;1002;202;Domingo;06/02/2024 07:45:00 PM;704
27;CHOCÓ;27006;ACANDÍ;27006000;ACANDÍ (ACANDÍ - CHOCÓ);2024;6;682186;197644;15796;Lunes;06/17/2024 08:30:00 PM;1937
27;CHOCÓ;27006;ACANDÍ;27006003;CAPURGANA (ACANDÍ - CHOCÓ);2024;6;403800;128896;89496;Sábado;06/29/2024 08:30:00 PM;2103
27;CHOCÓ;27025;ALTO BAUDO;27025000;CIUDAD BAUDO - PIE DE PATO (ALTO BAUDO - CHOCÓ);2024;6;52766;18043;1276;Martes;06/11/2024 12:30:00 PM;2353
27;CHOCÓ;27075;BAHÍA SOLANO;27075000;CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ);2024;6;806798;240527;157388;Sábado;06/01/2024 07:30:00 PM;2355
27;CHOCÓ;27075;BAHÍA SOLANO;27075002;EL VALLE (BAHÍA SOLANO - CHOCÓ);2024;6;184938;65667;36696;Sábado;06/29/2024 08:15:00 PM;2354
27;CHOCÓ;27077;BAJO BAUDÓ;27077905;BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ);2024;6;4215;1621;184;Lunes;06/03/2024 07:45:00 PM;10
27;CHOCÓ;27077;BAJO BAUDÓ;27077029;FIRME DE USARGA (BAJO BAUDÓ (PIZARRO) - CHOCÓ);2024;6;906;394;721;Domingo;06/30/2024 07:15:00 PM;551
27;CHOCÓ;27077;BAJO BAUDÓ;27077026;GUINEAL (BAJO BAUDÓ (PIZARRO) - CHOCÓ);2024;6;5274;2959;3388;Domingo;06/02/2024 11:45:00 AM;809
27;CHOCÓ;27077;BAJO BAUDÓ;27077008;ORPUA (BAJO BAUDÓ - CHOCÓ);2024;6;648;170;624;Jueves;06/27/2024 07:15:00 PM;557
27;CHOCÓ;27077;BAJO BAUDÓ;27077000;PIZARRO (BAJO BAUDÓ - CHOCÓ);2024;6;233400;91021;4488;Lunes;06/24/2024 07:30:00 PM;2305
27;CHOCÓ;27077;BAJO BAUDÓ;27077916;TERRON (BAJO BAUDÓ - CHOCÓ);2024;6;5300;2263;2779;Lunes;06/10/2024 11:45:00 AM;1028
27;CHOCÓ;27099;BOJAYÁ;27099000;BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ);2024;6;91673;27162;26598;Lunes;06/03/2024 06:15:00 PM;1516
27;CHOCÓ;27099;BOJAYÁ;27099005;NAPIPI (BOJAYÁ - CHOCÓ);2024;6;9331;3096;608;Sábado;06/01/2024 07:00:00 PM;62
27;CHOCÓ;27099;BOJAYÁ;27099008;PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO);2024;6;11489;3514;672;Viernes;06/21/2024 08:15:00 PM;801
27;CHOCÓ;27250;EL LITORAL DEL SAN JUAN;27250000;SANTA GENOVEVA DE DOCORDO (EL LITORAL DEL SAN JUAN - CHOCÓ);2024;6;31176;14902;2537;Miércoles;06/05/2024 06:45:00 PM;526
27;CHOCÓ;27372;JURADO;27372000;JURADO (JURADO - CHOCÓ);2024;6;168917;56559;30864;Sábado;06/01/2024 07:00:00 PM;24
27;CHOCÓ;27425;MEDIO ATRATO;27425000;BETE (MEDIO ATRATO - CHOCÓ);2024;6;16199;8094;64;Miércoles;06/19/2024 12:00:00 PM;1139
27;CHOCÓ;27425;MEDIO ATRATO;27425008;SAN ROQUE (MEDIO ATRATO - CHOCÓ);2024;6;2241;971;2047;Domingo;06/30/2024 08:15:00 PM;508
27;CHOCÓ;27495;NUQUÍ;27495001;ARUSÍ (NUQUÍ - CHOCO);2024;6;18961;7124;60;Sábado;06/01/2024 12:00:00 PM;153
27;CHOCÓ;27495;NUQUÍ;27495011;COMUNIDAD DE PUERTO JAGUA (NUQUÍ - CHOCÓ);2024;6;889;411;535;Lunes;06/17/2024 06:45:00 PM;707
